,Unnamed: 0,Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume,Stock
2340,79,2017-02-23,46.04,46.14,45.29,45.41,7812053.0,0.0,1.0,46.04,46.14,45.29,45.41,7812053.0,YHOO
1721,214,2017-02-23,180.92,181.23,177.33,180.84,18656.0,0.0,1.0,180.31521870654,180.62418243525,176.73721939659,180.23548613139,18656.0,COKE
213,213,2017-02-23,137.38,137.48,136.3,136.53,20788186.0,0.0,1.0,136.26720249353,136.36639247933002,135.19595064688,135.42408761422,20788186.0,AAPL
1720,213,2017-02-24,179.8,180.065,176.44,177.32,16675.0,0.0,1.0,179.19896265441002,179.46307680959998,175.85019449802,176.72725282468997,16675.0,COKE
3093,213,2017-02-24,847.65,848.36,842.9601,847.81,1346189.0,0.0,1.0,847.65,848.36,842.9601,847.81,1346189.0,GOOGL
966,213,2017-02-24,252.66,258.25,250.2,257.0,8171626.0,0.0,1.0,252.66,258.25,250.2,257.0,8171626.0,TSLA
212,212,2017-02-24,135.91,136.66,135.28,136.66,21776585.0,0.0,1.0,134.80910970225,135.55303459576,134.18421279171002,135.55303459576,21776585.0,AAPL
2339,78,2017-02-24,45.14,45.55,44.95,45.55,3714785.0,0.0,1.0,45.14,45.55,44.95,45.55,3714785.0,YHOO
965,212,2017-02-27,248.17,248.36,242.01,246.23,11460810.0,0.0,1.0,248.17,248.36,242.01,246.23,11460810.0,TSLA
211,211,2017-02-27,137.14,137.435,136.28,136.93,20257426.0,0.0,1.0,136.02914652761,136.32175698572,135.17611264972,135.82084755742,20257426.0,AAPL
2338,77,2017-02-27,45.45,45.74,45.24,45.71,4006922.0,0.0,1.0,45.45,45.74,45.24,45.71,4006922.0,YHOO
1719,212,2017-02-27,177.74,178.28400000000002,175.02,176.4,30733.0,0.0,1.0,177.14584884424,177.68803035528,174.43494128906997,175.81032821044,30733.0,COKE
3092,212,2017-02-27,844.95,850.67,843.01,849.67,1010333.0,0.0,1.0,844.95,850.67,843.01,849.67,1010333.0,GOOGL
3091,211,2017-02-28,847.35,848.83,841.4422,844.93,1383119.0,0.0,1.0,847.35,848.83,841.4422,844.93,1383119.0,GOOGL
964,211,2017-02-28,244.19,251.0,243.9,249.99,6078145.0,0.0,1.0,244.19,251.0,243.9,249.99,6078145.0,TSLA
210,210,2017-02-28,137.08,137.435,136.7,136.99,23482860.0,0.0,1.0,135.96963253613,136.32175698572,135.59271059008,135.8803615489,23482860.0,AAPL
1718,211,2017-02-28,176.69,176.69,171.5,172.07,29221.0,0.0,1.0,176.09935879537,176.09935879537,170.92670798238,171.49480258033998,29221.0,COKE
2337,76,2017-02-28,45.57,45.75,45.25,45.66,7201973.0,0.0,1.0,45.57,45.75,45.25,45.66,7201973.0,YHOO
2336,75,2017-03-01,45.89,46.41,45.89,46.24,7258451.0,0.0,1.0,45.89,46.41,45.89,46.24,7258451.0,YHOO
209,209,2017-03-01,137.89,140.15,137.595,139.79,36414585.0,0.0,1.0,136.77307142111,139.01476510022,136.48046096299998,138.65768115133002,36414585.0,AAPL
1717,210,2017-03-01,172.6,175.79,172.6,174.51,32767.0,0.0,1.0,172.02303089071998,175.20236732491,172.02303089071998,173.92664612248,32767.0,COKE
963,210,2017-03-01,254.18,254.85,249.11,250.02,4809488.0,0.0,1.0,254.18,254.85,249.11,250.02,4809488.0,TSLA
3090,210,2017-03-01,851.38,858.0,849.02,856.75,1818671.0,0.0,1.0,851.38,858.0,849.02,856.75,1818671.0,GOOGL
2335,74,2017-03-02,46.02,46.13,45.62,45.94,7017056.0,0.0,1.0,46.02,46.13,45.62,45.94,7017056.0,YHOO
1716,209,2017-03-02,174.43,174.75,173.07,174.02,15530.0,0.0,1.0,173.84691354732,174.16584384793,172.49145976974,173.43828409967,15530.0,COKE
962,209,2017-03-02,249.71,253.28,248.27,250.48,3351833.0,0.0,1.0,249.71,253.28,248.27,250.48,3351833.0,TSLA
3089,209,2017-03-02,856.31,856.49,848.72,849.85,1250938.0,0.0,1.0,856.31,856.49,848.72,849.85,1250938.0,GOOGL
208,208,2017-03-02,140.0,140.2786,138.76,138.96,26210984.0,0.0,1.0,138.86598012152,139.14232342196,137.63602429758,137.83440426918995,26210984.0,AAPL
3088,208,2017-03-03,848.94,850.82,844.705,849.08,1006612.0,0.0,1.0,848.94,850.82,844.705,849.08,1006612.0,GOOGL
2334,73,2017-03-03,45.88,46.0,45.6,45.91,6758310.0,0.0,1.0,45.88,46.0,45.6,45.91,6758310.0,YHOO
961,208,2017-03-03,250.74,251.9,249.0,251.57,2929234.0,0.0,1.0,250.74,251.9,249.0,251.57,2929234.0,TSLA
207,207,2017-03-03,138.78,139.83,138.59,139.78,21571121.0,0.0,1.0,137.65586229474,138.69735714566002,137.46740132172,138.64776215275,21571121.0,AAPL
1715,208,2017-03-03,173.99,174.82,172.27,174.29,19041.0,0.0,1.0,173.40838438398998,174.23560985119,171.69413401821998,173.70738154081002,19041.0,COKE
